Data Escala de Tempo 1 GE Simp 4,cod_aneel (tb_referenciacegusina (Usina)),cod_nucleoaneel (tb_referenciacegusina (Usina)),Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina2,Período Exibido GE,Selecione Tipo de GE Simp 4
5/2/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,2/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.3699
5/3/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,3/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.3835
5/4/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,4/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.3189
5/5/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,5/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.3157
5/6/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,6/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.3064
5/7/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,7/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.9725
5/8/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,8/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9527
5/9/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,9/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9444
5/10/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,10/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9291
5/11/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,11/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9392
5/12/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,12/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.4546
5/13/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,13/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.9186
5/14/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,14/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.9364
5/15/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,15/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.9648
5/16/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,16/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.7335
5/17/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,17/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.4855
5/18/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,18/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2121
5/19/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,19/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2547
5/20/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,20/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.3238
5/21/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,21/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.3132
5/22/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,22/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.272
